/*
 * Not all of these are hints, just copied out
 * everything with _NET in it from the spec.
 */

_NET_ACTIVE_WINDOW                  [?] /* Listen to active window requests */
_NET_CLIENT_LIST                    [X]
_NET_CLIENT_LIST_STACKING           [X]
_NET_CLOSE_WINDOW                   [ ]
_NET_CURRENT_DESKTOP                [ ]
_NET_DESKTOP_GEOMETRY               [ ]
_NET_DESKTOP_LAYOUT                 [ ]
_NET_DESKTOP_LAYOUT_S               [ ]
_NET_DESKTOP_NAMES                  [ ]
_NET_DESKTOP_VIEWPORT               [ ]
_NET_FRAME_EXTENTS                  [ ]
_NET_MOVERESIZE_WINDOW              [ ]
_NET_NUMBER_OF_DESKTOPS             [ ]
_NET_PROPERTIES                     [ ]
_NET_REQUEST_FRAME_EXTENTS          [ ]
_NET_RESTACK_WINDOW                 [ ]
_NET_SHOWING_DESKTOP                [ ]
_NET_SUPPORTED                      [X]
_NET_SUPPORTING_WM_CHECK            [X]
_NET_VIRTUAL_ROOTS                  [X]
_NET_WM_ACTION_CHANGE_DESKTOP       [ ]
_NET_WM_ACTION_CLOSE                [ ]
_NET_WM_ACTION_FULLSCREEN           [ ]
_NET_WM_ACTION_MAXIMIZE_HORZ        [ ]
_NET_WM_ACTION_MAXIMIZE_VERT        [ ]
_NET_WM_ACTION_MINIMIZE             [ ]
_NET_WM_ACTION_MOVE                 [ ]
_NET_WM_ACTION_RESIZE               [ ]
_NET_WM_ACTION_SHADE                [ ]
_NET_WM_ACTION_STICK                [ ]
_NET_WM_ALLOWED_ACTIONS             [ ]
_NET_WM_BOTTOMLEFT                  [ ]
_NET_WM_BOTTOMRIGHT                 [ ]
_NET_WM_DESKTOP                     [?] /* Remove this property on unmap */
_NET_WM_HANDLED_ICONS               [ ]
_NET_WM_ICON                        [ ]
_NET_WM_ICON_GEOMETRY               [ ]
_NET_WM_ICON_NAME                   [ ]
_NET_WM_MOVERESIZE                  [ ]
_NET_WM_MOVERESIZE_MOVE             [ ]
_NET_WM_MOVERESIZE_MOVE_KEYBOARD    [ ]
_NET_WM_MOVERESIZE_SIZE_BOTTOM      [ ]
_NET_WM_MOVERESIZE_SIZE_BOTTOMLEFT  [ ]
_NET_WM_MOVERESIZE_SIZE_BOTTOMRIGHT [ ]
_NET_WM_MOVERESIZE_SIZE_KEYBOARD    [ ]
_NET_WM_MOVERESIZE_SIZE_LEFT        [ ]
_NET_WM_MOVERESIZE_SIZE_RIGHT       [ ]
_NET_WM_MOVERESIZE_SIZE_TOP         [ ]
_NET_WM_MOVERESIZE_SIZE_TOPLEFT     [ ]
_NET_WM_MOVERESIZE_SIZE_TOPRIGHT    [ ]
_NET_WM_NAME                        [X]
_NET_WM_ORIENTATION_HORZ            [ ]
_NET_WM_ORIENTATION_VERT            [ ]
_NET_WM_PID                         [X]
_NET_WM_PING                        [ ]
_NET_WM_STATE                       [X]
_NET_WM_STATE_ABOVE                 [X]
_NET_WM_STATE_BELOW                 [X]
_NET_WM_STATE_DEMANDS_ATTENTION     [ ]
_NET_WM_STATE_FULLSCREEN            [X]
_NET_WM_STATE_HIDDEN                [X]
_NET_WM_STATE_MAXIMIZED_HORZ        [X]
_NET_WM_STATE_MAXIMIZED_VERT        [X]
_NET_WM_STATE_MODAL                 [ ]
_NET_WM_STATE_SHADED                [X]
_NET_WM_STATE_SKIP_PAGER            [ ]
_NET_WM_STATE_SKIP_TASKBAR          [ ]
/* _NET_WM_STATE_STICKY indicates that the
 * Window Manager SHOULD keep the window's
 * position fixed on the screen, even when
 * the virtual desktop scrolls. */
_NET_WM_STATE_STICKY                [?]
_NET_WM_STRUT                       [ ]
_NET_WM_STRUT_PARTIAL               [ ]
_NET_WM_SYNC_REQUEST                [ ]
_NET_WM_SYNC_REQUEST_COUNTER        [ ]
_NET_WM_TOPLEFT                     [ ]
_NET_WM_TOPRIGHT                    [ ]
_NET_WM_TYPE_BELOW                  [ ]
_NET_WM_TYPE_DOCK                   [ ]
_NET_WM_USER_TIME                   [ ]
_NET_WM_VISIBLE_ICON_NAME           [ ]
_NET_WM_VISIBLE_NAME                [ ]
_NET_WM_VISIBLE_NAME_STRING         [ ]
_NET_WM_WINDOW_TYPE                 [ ]
_NET_WM_WINDOW_TYPE_DESKTOP         [ ]
_NET_WM_WINDOW_TYPE_DIALOG          [ ]
_NET_WM_WINDOW_TYPE_DOCK            [ ]
_NET_WM_WINDOW_TYPE_MENU            [ ]
_NET_WM_WINDOW_TYPE_NORMAL          [ ]
_NET_WM_WINDOW_TYPE_SPLASH          [ ]
_NET_WM_WINDOW_TYPE_TOOLBAR         [ ]
_NET_WM_WINDOW_TYPE_UTILITY         [ ]
_NET_WORKAREA                       [ ]
